[dotenv@17.3.1] injecting env (2) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
Total candidates: 379
2026-04-08T09:33:00-0400 | B | RR=2.00 | ext=-0.147 | no reclaim candle, no hold, bad timing
2026-04-08T09:34:00-0400 | B | RR=2.00 | ext=-0.113 | no reclaim candle, no hold, bad timing
2026-04-08T09:35:00-0400 | B | RR=2.00 | ext=-0.073 | no reclaim candle, no hold, bad timing
2026-04-08T09:36:00-0400 | B | RR=2.00 | ext=-0.087 | no reclaim candle, no hold, bad timing
2026-04-08T09:37:00-0400 | B | RR=2.00 | ext=-0.140 | no reclaim candle, no hold, bad timing
2026-04-08T09:38:00-0400 | B | RR=2.00 | ext=-0.160 | no reclaim candle, no hold, bad timing
2026-04-08T09:39:00-0400 | B | RR=2.00 | ext=-0.240 | no reclaim candle, no hold, bad timing
2026-04-08T09:40:00-0400 | B | RR=2.00 | ext=-0.239 | no reclaim candle, no hold, bad timing
2026-04-08T09:41:00-0400 | B | RR=2.00 | ext=-0.287 | no reclaim candle, no hold, bad timing
2026-04-08T09:42:00-0400 | B | RR=2.00 | ext=-0.314 | no reclaim candle, no hold, bad timing
2026-04-08T09:43:00-0400 | B | RR=2.00 | ext=-0.253 | no reclaim candle, no hold, bad timing
2026-04-08T09:44:00-0400 | B | RR=2.00 | ext=-0.278 | no reclaim candle, no hold, bad timing
2026-04-08T09:45:00-0400 | B | RR=2.00 | ext=-0.230 | no reclaim candle, no hold, bad timing
2026-04-08T09:46:00-0400 | A | RR=2.00 | ext=-0.076 | no reclaim candle, bad timing
2026-04-08T09:47:00-0400 | B | RR=2.00 | ext=-0.056 | no reclaim candle, no hold, bad timing
2026-04-08T09:48:00-0400 | A | RR=2.00 | ext=-0.078 | no reclaim candle, bad timing
2026-04-08T09:49:00-0400 | B | RR=2.00 | ext=-0.049 | no reclaim candle, no hold, bad timing
2026-04-08T09:50:00-0400 | B | RR=2.00 | ext=-0.147 | no reclaim candle, no hold, bad timing
2026-04-08T09:51:00-0400 | B | RR=2.00 | ext=-0.309 | no reclaim candle, no hold, bad timing
2026-04-08T09:52:00-0400 | B | RR=2.00 | ext=-0.265 | no reclaim candle, no hold, bad timing
2026-04-08T09:53:00-0400 | B | RR=2.00 | ext=-0.286 | no reclaim candle, no hold, bad timing
2026-04-08T09:54:00-0400 | B | RR=2.00 | ext=-0.310 | no reclaim candle, no hold, bad timing
2026-04-08T09:55:00-0400 | B | RR=2.00 | ext=-0.280 | no reclaim candle, no hold, bad timing
2026-04-08T09:56:00-0400 | B | RR=2.00 | ext=-0.272 | no reclaim candle, no hold, bad timing
2026-04-08T09:57:00-0400 | B | RR=2.00 | ext=-0.297 | no reclaim candle, no hold, bad timing
